title,questions,answers
Latex header footer Template file,"I used a file body.tex to store the header and footer of the latex code and was reading that to generate a tex file. All the testcases worked fine but in final assessment it only checked sudoku.py WITHOUT body.tex which makes it fail ALL the tex generating test cases. 

I would appreciate it if it can be sorted out. There was no restriction in using the file approach mentioned, if this was known hardcoding the template in doesn't take that much of an effort any way.","I made the same mistake as you, and then remembered that Eric had mentioned before that he would only take the sudoku.py file for marking. Which is a shame.The end of Section 4.1 of the assignment 2 specification notes that only the sudoku.py file will be marked."
Video that shows the mechanism of various sorting algorithms,,"I found this interesting video on Youtube, in which they added some sound to various sorting algorithms as they run. 

Some of them, like quick sort, merge sort and shell sort, are actually quite intuitive for finding out how they work.

https://www.youtube.com/watch?v=kPRA0W1kECg&t=25s"
Solutions of Assignments,Could you post the solutions of assignment 1 and 2 on Ed? Thought that would be a help for us to prepare the final exam.,"Hi Yuzheng, we usually do not post solutions to the assignments, and in any case that would not be useful to prepare for the final, focus on the flagged lab questions."
Final exam questions.,I have some queries regarding the final exam questions. I think I have heard you mention that we will be getting questions from lab 1 to 10. Is that correct?,"Hi Smrita, correct, all flagged questions from Lab 1 to Lab10 are potential candidates for similar exam questions."
Lab 8 unable to understand,"Hi Eric/Mates,

I am unable to understand this question of the Fibonacci codes. How is F4 + F6 = 11 coded by 00101?","Fibonacci sequence: 1,1,2,3,5,8,13...
F4 ie fourth element of sequence: 3
F6 ie sixth  element of sequence: 8

F4+F6=11

k=6
b2 b3 b4 b5 b6 = 00101"
Lab 9: word_ladder,"Hello Eric, in your solution for word_ladder you have used defaultdict to store words as list and set. Could you explain why ? (You could have used defaultdict(list) for both). Also, cProfile did show a very small gain of time by using list and set as compared to only list. But operation wise I felt there wasn't any difference in creating the two dictionaries and using them as a list. Kindly explain. Thank you.  ","Hi Amrut, if we can choose between lists and sets then it is preferable to go for sets as they are more efficient. I could have used defaultdict(list) for both; I could also have used defaultdict(set) for both, and the latter would be preferable to the former. I used defaultdict(list) rather than defaultdict(set) so as to work with the two loops
for i in range(len(contextual_slots[slot])):
                    for j in range(i + 1, len(contextual_slots[slot])):
rather than ranging twice over a set, and then having to check every time that both members of the set (words) are different to record that either can be followed by the other. Starting j with i+1 guarantees that both words are different."
Last lecture,Was the last lecture on October 19 or October 23? There is no recording for the latter.,October 19
Lab Stubs,"Hi Eric, I know this is a very lazy request. But if possible could you kindly provide the stub for all the labs in a .zip file. I have over-written most of the stubs provided on edstem and would find it helpful to practice on empty stubs. Sorry for the inconvenience.

Edit 1: I couldn't any way to recover the initial stubs. ","Hi Amrut, that is not very convenient for me to do as they are scattered everywhere and amongst other files, but you can easily retrieve them (save your files first): click the 3 dots in the top right corner and then ""Reset to Scaffold"".

"
Generalised priority queue,"I have this error of ""TypeError: unsupported format string passed to list.__format__"" when I submit challenge 28. I checked that the output is correct but if I run the test script command of:

[print(f'{pq.delete():2}{pq._data[: len(pq)+1]}') for _ in range (len(pq))]

It will have the error. May I requested to get it fixed please?

Thanks,","Hi Saya, I am confused, you talked about ""getting it fixed"", but I checked again that the provided solution could be submitted and passed the tests successfully, so I guess there is an error in your code, and of course just based on that error message, I cannot tell what it is..."
Final Grade,Comp9021 is the only CS course I took in semester 2. All my other courses(maths) have already made provisional final marks available to students. When will the final result of this course come out and how can I check it? (Through Moodle or Ed)?,"Hi Fangqian, I just follow the standard procedure for the official results to be released by Central admin."
Course material,,"http://www.cse.unsw.edu.au/~cs9021 now links to Ed.

A few words on where the course material is to be found.

All the material associated with lectures, labs, quizzes and assignments can be downloaded from Resources (it will be made available week by week).

Most if not all of the lab exercises will be replicated under Challenges, so you can develop and test your solutions there.

All quizzes and assignments will be replicated under Assessments, so you can develop and test your solutions there.

The Jupyter notebook sheets to practice Python syntax, and those we create during lectures, are also available under Workspaces. Click on ""Fork"" to create your own copy of the selected sheet and play with it.

Under Lessons, you find the three videos ""Introduction to Unix"", ""Running Python code"" and ""Software Installation and Jupyter"", and associated pdfs.

A reminder that the lecture recordings are accessible at https://moodle.telt.unsw.edu.au/enrol/index.php?id=27660

All discussion has to be made on Ed, we are not using WebCMS any more. 

"
Final exam,,"The final exam will take place on Wednesday the 15th of November from 13:45 to 17:00.

You will find your seat allocation at http://www.cse.unsw.edu.au/~cs9021/17s2/seating/final/seating.html
Do not join the lab before you are invited to do so. Indeed, the inviligators will first log into the exam environment, before inviting you to get into the lab and leave your belongings (mobile phone included) against a wall, with the exception of your student card which you should have with you, pens, and possibly a dictionary as requested by some of you. You will then be able to log into your personal account using your own credentials (zid, zpass). You will have access to all applications available on the School servers but neither to the Internet nor email. Most of you will use Idle. Those of you who wish to use another IDE can explore what is available on the School lab machines, but note that you cannot have any personal configuration file, you will have a ""clean"" account without any personal file.

The exam questions will be displayed as a pdf, as well as a cheat sheet.

Idle will be open and a number of .py files will be available that you will just have to edit and save; they will be collected for marking, so the whole procedure is straightforward, you just have to edit, test and save. A simple right click will give you access to Idle and the pdf's in case you ""lose"" them.

Scrap paper will be provided, do not take your own paper."
Final exam: change from Lyre to Drum,,"As there seems to be aircon issues in Lyre, we will use Drum instead. Students who were allocated to Lyre should instead go to Drum, same seat number.

http://www.cse.unsw.edu.au/~cs9021/17s2/seating/final/seating.html has been updated accordingly."
